,realtime_start,realtime_end,date,value,delta column,,
111,1/11/22,1/11/22,4/1/91,3.5889996,0.0900358,,
112,1/11/22,1/11/22,5/1/91,3.6138325,0.0248329,,
113,1/11/22,1/11/22,6/1/91,3.6874573,0.0736248,,
114,1/11/22,1/11/22,7/1/91,3.6942461,0.0067888,,
115,1/11/22,1/11/22,8/1/91,3.6694333,0.0248128,,
116,1/11/22,1/11/22,9/1/91,3.5395061,0.1299272,,
117,1/11/22,1/11/22,10/1/91,3.4571108,0.0823953,,
118,1/11/22,1/11/22,11/1/91,3.4328251,0.0242857,,
119,1/11/22,1/11/22,12/1/91,3.3834438,0.0493813,,
120,1/11/22,1/11/22,1/1/92,3.2916933,0.0917505,,
121,1/11/22,1/11/22,2/1/92,3.4630855,0.1713922,,
122,1/11/22,1/11/22,3/1/92,3.4797051,0.0166196,,
123,1/11/22,1/11/22,4/1/92,3.5145048,0.0347997,,
124,1/11/22,1/11/22,5/1/92,3.5417892,0.0272844,,
125,1/11/22,1/11/22,6/1/92,3.4636754,0.0781138,,
126,1/11/22,1/11/22,7/1/92,3.3590991,0.1045763,,
127,1/11/22,1/11/22,8/1/92,3.2576814,0.1014177,,
128,1/11/22,1/11/22,9/1/92,3.1724765,0.0852049,,
129,1/11/22,1/11/22,10/1/92,3.0763575,0.096119,,
130,1/11/22,1/11/22,11/1/92,3.2833165,0.206959,,
131,1/11/22,1/11/22,12/1/92,3.364009,0.0806925,,
132,1/11/22,1/11/22,1/1/93,3.2731242,0.0908848,,
133,1/11/22,1/11/22,2/1/93,3.1605471,0.1125771,,
134,1/11/22,1/11/22,3/1/93,3.0099979,0.1505492,,
135,1/11/22,1/11/22,4/1/93,3.0543887,0.0443908,,
136,1/11/22,1/11/22,5/1/93,3.013758,0.0406307,,
137,1/11/22,1/11/22,6/1/93,3.0038921,0.0098659,,
138,1/11/22,1/11/22,7/1/93,2.9614798,0.0424123,,
139,1/11/22,1/11/22,8/1/93,2.9997294,0.0382496,,
140,1/11/22,1/11/22,9/1/93,2.8843251,0.1154043,,
141,1/11/22,1/11/22,10/1/93,2.8820187,0.0023064,,
142,1/11/22,1/11/22,11/1/93,2.9345111,0.0524924,,
143,1/11/22,1/11/22,12/1/93,2.9978833,0.0633722,,
144,1/11/22,1/11/22,1/1/94,3.0226176,0.0247343,,
145,1/11/22,1/11/22,2/1/94,2.9820707,0.0405469,,
146,1/11/22,1/11/22,3/1/94,3.1561665,0.1740958,,
147,1/11/22,1/11/22,4/1/94,3.3849852,0.2288187,,
148,1/11/22,1/11/22,5/1/94,3.3611094,0.0238758,,
149,1/11/22,1/11/22,6/1/94,3.3900644,0.028955,,
150,1/11/22,1/11/22,7/1/94,3.4897425,0.0996781,,
151,1/11/22,1/11/22,8/1/94,3.3532364,0.1365061,,
152,1/11/22,1/11/22,9/1/94,3.3826395,0.0294031,,
153,1/11/22,1/11/22,10/1/94,3.5294357,0.1467962,,
154,1/11/22,1/11/22,11/1/94,3.6202126,0.0907769,,
155,1/11/22,1/11/22,12/1/94,3.6322068,0.0119942,,
156,1/11/22,1/11/22,1/1/95,3.6848029,0.0525961,,
157,1/11/22,1/11/22,2/1/95,3.6098762,0.0749267,,
158,1/11/22,1/11/22,3/1/95,3.4513165,0.1585597,,
159,1/11/22,1/11/22,4/1/95,3.4052354,0.0460811,,
160,1/11/22,1/11/22,5/1/95,3.2379292,0.1673062,,
161,1/11/22,1/11/22,6/1/95,2.9951953,0.2427339,,
162,1/11/22,1/11/22,7/1/95,3.0444349,0.0492396,,
163,1/11/22,1/11/22,8/1/95,3.1175988,0.0731639,,
164,1/11/22,1/11/22,9/1/95,3.0773826,0.0402162,,
165,1/11/22,1/11/22,10/1/95,3.0390154,0.0383672,,
166,1/11/22,1/11/22,11/1/95,3.0063913,0.0326241,,
167,1/11/22,1/11/22,12/1/95,2.8567435,0.1496478,,
168,1/11/22,1/11/22,1/1/96,2.8862696,0.0295261,,
