,realtime_start,realtime_end,date,value
173,2022-01-11,2022-01-11,1996-06-01,3.2843339
174,2022-01-11,2022-01-11,1996-07-01,3.1962466
175,2022-01-11,2022-01-11,1996-08-01,3.2042193
176,2022-01-11,2022-01-11,1996-09-01,3.2752392
177,2022-01-11,2022-01-11,1996-10-01,3.2094561
178,2022-01-11,2022-01-11,1996-11-01,3.1489546
179,2022-01-11,2022-01-11,1996-12-01,3.0220262
180,2022-01-11,2022-01-11,1997-01-01,3.1856403
181,2022-01-11,2022-01-11,1997-02-01,3.1838722
182,2022-01-11,2022-01-11,1997-03-01,3.1925173
183,2022-01-11,2022-01-11,1997-04-01,3.2889213
184,2022-01-11,2022-01-11,1997-05-01,3.2361152
185,2022-01-11,2022-01-11,1997-06-01,3.2298343
186,2022-01-11,2022-01-11,1997-07-01,3.1475062
187,2022-01-11,2022-01-11,1997-08-01,3.1049529
188,2022-01-11,2022-01-11,1997-09-01,3.1017267
189,2022-01-11,2022-01-11,1997-10-01,3.0858114
190,2022-01-11,2022-01-11,1997-11-01,3.0686689
191,2022-01-11,2022-01-11,1997-12-01,2.9822237
192,2022-01-11,2022-01-11,1998-01-01,2.9571113
193,2022-01-11,2022-01-11,1998-02-01,2.9319169
194,2022-01-11,2022-01-11,1998-03-01,2.9441936
195,2022-01-11,2022-01-11,1998-04-01,2.9363848
196,2022-01-11,2022-01-11,1998-05-01,2.9820842
197,2022-01-11,2022-01-11,1998-06-01,2.9390768
198,2022-01-11,2022-01-11,1998-07-01,2.9393587
199,2022-01-11,2022-01-11,1998-08-01,2.929398
200,2022-01-11,2022-01-11,1998-09-01,2.7900002
201,2022-01-11,2022-01-11,1998-10-01,2.5233646
202,2022-01-11,2022-01-11,1998-11-01,2.6387795
203,2022-01-11,2022-01-11,1998-12-01,2.6027098
204,2022-01-11,2022-01-11,1999-01-01,2.6713034
205,2022-01-11,2022-01-11,1999-02-01,2.7023039
206,2022-01-11,2022-01-11,1999-03-01,2.8234877
207,2022-01-11,2022-01-11,1999-04-01,2.8282646
208,2022-01-11,2022-01-11,1999-05-01,2.8736136
209,2022-01-11,2022-01-11,1999-06-01,2.9580206
210,2022-01-11,2022-01-11,1999-07-01,3.0051763
211,2022-01-11,2022-01-11,1999-08-01,3.0416103
212,2022-01-11,2022-01-11,1999-09-01,3.079371
213,2022-01-11,2022-01-11,1999-10-01,3.1078989
214,2022-01-11,2022-01-11,1999-11-01,3.1147291
215,2022-01-11,2022-01-11,1999-12-01,3.1655975
216,2022-01-11,2022-01-11,2000-01-01,3.2126516
217,2022-01-11,2022-01-11,2000-02-01,3.2716446
218,2022-01-11,2022-01-11,2000-03-01,3.2498615
219,2022-01-11,2022-01-11,2000-04-01,3.1258905
220,2022-01-11,2022-01-11,2000-05-01,3.1981089
221,2022-01-11,2022-01-11,2000-06-01,3.2329537
222,2022-01-11,2022-01-11,2000-07-01,3.0533313
223,2022-01-11,2022-01-11,2000-08-01,3.0312058
224,2022-01-11,2022-01-11,2000-09-01,2.9647909
225,2022-01-11,2022-01-11,2000-10-01,2.9437164
226,2022-01-11,2022-01-11,2000-11-01,2.9416401
227,2022-01-11,2022-01-11,2000-12-01,2.8733673
228,2022-01-11,2022-01-11,2001-01-01,2.6034959
229,2022-01-11,2022-01-11,2001-02-01,2.7057933
230,2022-01-11,2022-01-11,2001-03-01,2.6003036
231,2022-01-11,2022-01-11,2001-04-01,2.6615774
232,2022-01-11,2022-01-11,2001-05-01,2.8049112
233,2022-01-11,2022-01-11,2001-06-01,2.8766237
234,2022-01-11,2022-01-11,2001-07-01,2.8442856
235,2022-01-11,2022-01-11,2001-08-01,2.747592
236,2022-01-11,2022-01-11,2001-09-01,2.7817915
237,2022-01-11,2022-01-11,2001-10-01,2.6317991
238,2022-01-11,2022-01-11,2001-11-01,2.5312137
239,2022-01-11,2022-01-11,2001-12-01,2.7120479
240,2022-01-11,2022-01-11,2002-01-01,2.8553311
241,2022-01-11,2022-01-11,2002-02-01,2.7968914
242,2022-01-11,2022-01-11,2002-03-01,2.7951438
243,2022-01-11,2022-01-11,2002-04-01,2.9792551
244,2022-01-11,2022-01-11,2002-05-01,2.8460744
245,2022-01-11,2022-01-11,2002-06-01,2.8047216
246,2022-01-11,2022-01-11,2002-07-01,2.7358389
247,2022-01-11,2022-01-11,2002-08-01,2.531779
248,2022-01-11,2022-01-11,2002-09-01,2.3895553
249,2022-01-11,2022-01-11,2002-10-01,2.3101835
250,2022-01-11,2022-01-11,2002-11-01,2.3717912
251,2022-01-11,2022-01-11,2002-12-01,2.4875401
252,2022-01-11,2022-01-11,2003-01-01,2.4108174
253,2022-01-11,2022-01-11,2003-02-01,2.4112355
254,2022-01-11,2022-01-11,2003-03-01,2.2798488
255,2022-01-11,2022-01-11,2003-04-01,2.3069603
256,2022-01-11,2022-01-11,2003-05-01,2.3136372
257,2022-01-11,2022-01-11,2003-06-01,2.1822159
258,2022-01-11,2022-01-11,2003-07-01,2.2044109
259,2022-01-11,2022-01-11,2003-08-01,2.4591668
260,2022-01-11,2022-01-11,2003-09-01,2.5436754
261,2022-01-11,2022-01-11,2003-10-01,2.309369
262,2022-01-11,2022-01-11,2003-11-01,2.4581108
263,2022-01-11,2022-01-11,2003-12-01,2.5094714
264,2022-01-11,2022-01-11,2004-01-01,2.4810995
265,2022-01-11,2022-01-11,2004-02-01,2.4441096
266,2022-01-11,2022-01-11,2004-03-01,2.3678409
267,2022-01-11,2022-01-11,2004-04-01,2.3429567
268,2022-01-11,2022-01-11,2004-05-01,2.5847383
269,2022-01-11,2022-01-11,2004-06-01,2.6648141
270,2022-01-11,2022-01-11,2004-07-01,2.6216976
271,2022-01-11,2022-01-11,2004-08-01,2.5920939
272,2022-01-11,2022-01-11,2004-09-01,2.4824742
273,2022-01-11,2022-01-11,2004-10-01,2.4971852
274,2022-01-11,2022-01-11,2004-11-01,2.4566269
275,2022-01-11,2022-01-11,2004-12-01,2.5051409
276,2022-01-11,2022-01-11,2005-01-01,2.5100173
277,2022-01-11,2022-01-11,2005-02-01,2.5102561
278,2022-01-11,2022-01-11,2005-03-01,2.5879503
279,2022-01-11,2022-01-11,2005-04-01,2.6216177
280,2022-01-11,2022-01-11,2005-05-01,2.517521
281,2022-01-11,2022-01-11,2005-06-01,2.4344919
282,2022-01-11,2022-01-11,2005-07-01,2.4881803
283,2022-01-11,2022-01-11,2005-08-01,2.5736033
284,2022-01-11,2022-01-11,2005-09-01,2.4731671
285,2022-01-11,2022-01-11,2005-10-01,2.6208315
286,2022-01-11,2022-01-11,2005-11-01,2.6323855
287,2022-01-11,2022-01-11,2005-12-01,2.6210899
288,2022-01-11,2022-01-11,2006-01-01,2.5514917
289,2022-01-11,2022-01-11,2006-02-01,2.6009027
290,2022-01-11,2022-01-11,2006-03-01,2.5957146
291,2022-01-11,2022-01-11,2006-04-01,2.6865223
292,2022-01-11,2022-01-11,2006-05-01,2.7118575
293,2022-01-11,2022-01-11,2006-06-01,2.7185982
294,2022-01-11,2022-01-11,2006-07-01,2.764009
295,2022-01-11,2022-01-11,2006-08-01,2.6731465
296,2022-01-11,2022-01-11,2006-09-01,2.5937904
297,2022-01-11,2022-01-11,2006-10-01,2.5785058
298,2022-01-11,2022-01-11,2006-11-01,2.5065638
299,2022-01-11,2022-01-11,2006-12-01,2.4757836
300,2022-01-11,2022-01-11,2007-01-01,2.6058472
301,2022-01-11,2022-01-11,2007-02-01,2.6454116
302,2022-01-11,2022-01-11,2007-03-01,2.5414765
303,2022-01-11,2022-01-11,2007-04-01,2.5617018
304,2022-01-11,2022-01-11,2007-05-01,2.5952088
305,2022-01-11,2022-01-11,2007-06-01,2.7068347
306,2022-01-11,2022-01-11,2007-07-01,2.7041445
307,2022-01-11,2022-01-11,2007-08-01,2.5746703
